sku,category,name,brand,description,url,price,in_stock,image_primary,image_count,rating_value,review_count
21,cachaca,Whisky Chivas Royal Salute 21 anos Azul 700 ml,Royal Salute,"Whisky Chivas Royal Salute 21 anos Azul 700 ml. O Whisky Chivas Royal Salute 21 Anos Azul é uma verdadeira joia do mundo dos destilados, reverenciado por colecionadores, conhecedores e apreciadores do mais alto padrão. Criado para celebrar a coroação da Rainha Elizabeth II, em 1953, este rótulo é sinônimo de elegância, tradição e sofisticação. A icônica garrafa de porcelana azul cobalto, fabricada artesanalmente, é tão nobre quanto o líquido que guarda: um blended scotch whisky envelhecido por no mínimo 21 anos. Produzido pela renomada Chivas Brothers, com sede na Escócia, o Royal Salute carrega o legado centenário da família Chivas, cuja história remonta ao século XIX. Os irmãos James e John Chivas construíram sua reputação ao fornecer produtos de altíssima qualidade à aristocracia britânica, e seus blends logo se tornaram símbolos de status. O Royal Salute representa o auge dessa tradição — um blend cuidadosamente elaborado com os maltes mais raros e envelhecidos da casa. No paladar, o Chivas Royal Salute 21 Anos revela uma complexidade impressionante. Cada gole é uma viagem sensorial, marcada por notas profundas de frutas secas, especiarias doces, carvalho tostado e toques florais. Este whisky foi feito para ocasiões especiais, brindes inesquecíveis e momentos em que apenas o melhor é suficiente. Aromas & Paladar Nariz: Rico e sofisticado, com notas de flores de outono, marmelada, frutas vermelhas secas, mel, caramelo e um leve toque defumado. Boca: Textura aveludada com camadas de frutas maduras, especiarias delicadas (canela e noz-moscada), baunilha e um leve toque de chocolate amargo. Finalização: Longa, elegante e persistente. Deixa no paladar uma sensação aquecida, com notas suaves de carvalho, especiarias doces e frutas cristalizadas. Harmonizações Sugeridas Entradas e petiscos: Presunto de Parma, castanhas caramelizadas, damascos secos e canapés de queijo brie com geleia. Pratos principais: Cordeiro assado com crosta de ervas, medalhão ao molho de vinho do Porto, pato confitado com redução de frutas vermelhas. Queijos e/ou sobremesas: Queijo Stilton, cheesecake de frutas secas, trufas de chocolate meio amargo ou crème brûlée. Ficha Técnica Volume: 700 ml Teor alcoólico: 40% País: Escócia Região: Strathisla, Speyside Estilo: Blended Scotch Whisky Maturação ou método de produção: Envelhecido por no mínimo 21 anos em barris de carvalho selecionados Destaques comerciais: Garrafa de porcelana artesanal Lançado em homenagem à coroação da Rainha Elizabeth II Blended com maltes raros e excepcionais Presente ideal para ocasiões especiais História e Curiosidade O nome Royal Salute refere-se à tradicional salva de 21 tiros disparada em honra à realeza britânica — um símbolo de respeito e reverência. Criado em 1953, o Royal Salute foi especialmente desenvolvido para marcar a coroação da Rainha Elizabeth II, e cada garrafa representa essa herança aristocrática. A produção é feita com extrema atenção aos detalhes, e a garrafa de porcelana Wade, feita à mão, torna cada unidade uma peça de coleção. A combinação entre tradição escocesa, excelência no envelhecimento e requinte visual faz deste whisky uma verdadeira obra-prima.",https://www.casadabebida.com.br/whisky/whisky-chivas-royal-salute-21-anos/?gad_source=4&gad_campaignid=23193546413&gbraid=0AAAAADx9p9Js2d1TZmmVOrxidyY1O6Q7E&gclid=Cj0KCQjwve7NBhC-ARIsALZy9HXxq6EcNARwH81yB7OIS53K5GwHkGRsx_2p9tV7mrzdDCRXlmfCXAEaApNqEALw_wcB,969.9,True,https://www.casadabebida.com.br/img/products/21/000.webp,10,4.98,51
1074,cachaca,Whisky Macallan 12 anos Double Cask 700 ml,Macallan,"Whisky Macallan 12 Anos Double Cask 700 ml – Elegância em Carvalho Americano e Europeu, 100% Sherry Oak A nossa embalagem mudou, mas The Macallan contínua sendo o de sempre. Com o mesmo sabor que nos faz ser reconhecidos. O Macallan Double Cask 12 Anos é uma expressão sofisticada do single malt escocês, envelhecida exclusivamente em barris de carvalho temperados com vinho Jerez – parte americana e parte europeia –, combinando suavidade com profundidade aromática. É produzido na célebre região de Speyside, Escócia, berço de alguns dos whiskies mais respeitados do mundo. Ao contrário do tradicional Macallan Sherry Oak, o Double Cask usa uma maior proporção de carvalho americano ex-xerez, o que confere notas mais doces, suaves e acessíveis – sem abrir mão do caráter robusto do carvalho europeu. Sua coloração é 100% natural, resultado apenas da interação com a madeira ao longo de 12 anos de envelhecimento. Notas de Degustação Visual: Ouro âmbar brilhante, sem adição de corantes. Olfato: Baunilha cremosa, casca de laranja, frutas secas, gengibre cristalizado, noz-moscada e caramelo amanteigado. Paladar: Corpo médio com camadas de mel, especiarias doces, roble tostado, passas e um toque de cítricos. Final longo, equilibrado entre a doçura do carvalho americano e a profundidade do europeu. Harmonizações Sugeridas Chocolate amargo (70% cacau): realça as notas de especiarias e frutas secas. Queijos curados como Manchego ou Parmesão: equilibram com a untuosidade do whisky. Nozes caramelizadas ou figos secos: complementam os aromas do envelhecimento em xerez. Carnes grelhadas com redução de balsâmico: criam um contraste refinado com o dulçor do carvalho americano. Características Técnicas Volume: 700 ml Teor alcoólico: 40% vol Tipo: Single Malt Scotch Whisky Envelhecimento: 12 anos em barris de carvalho americano e europeu ex-Jerez Região: Speyside – Escócia Cor: Natural, sem aditivos Filtragem: Não filtrado a frio Curiosidade Macallan A madeira influencia até 80% do perfil sensorial de um whisky. Por isso, a Macallan possui controle completo do processo de fabricação de seus barris – do cultivo do carvalho à tosta e ao tempero com xerez na Espanha –, um investimento que garante consistência e excelência em cada gota.",https://www.casadabebida.com.br/whisky/macallan-12-anos-double-cask-700-ml-1074/,729.9,True,https://www.casadabebida.com.br/img/products/1074/000.webp,5,5.0,22
17,cachaca,Whisky Johnnie Walker Blue Label 750 ml,Johnnie Walker,"Whisky Johnnie Walker Blue Label 750ml – A Joia Rara dos Blended Scotch Whiskies O Whisky Johnnie Walker Blue Label 750ml é a expressão máxima de sofisticação dentro do portfólio da marca mais icônica da Escócia. Criado com uma seleção minuciosa de whiskies raríssimos, muitos de destilarias já extintas, esse blend é reservado para os paladares mais exigentes e ocasiões verdadeiramente memoráveis. Cada garrafa do Blue Label é uma verdadeira obra-prima, assinada por mestres blendadores que buscam, incansavelmente, replicar o perfil sensorial dos primeiros whiskies comercializados por Johnnie Walker no século XIX. Elegante, poderoso e envolvente, é uma experiência de luxo para quem valoriza história, tradição e profundidade em cada gole. Aromas & Paladar Nariz: Mel, frutas secas, tabaco suave, chocolate amargo e leve defumado. Boca: Encorpado e cremoso, com notas de carvalho tostado, nozes, laranja cristalizada, especiarias suaves e toques defumados sutis. Finalização: Longa, intensa e aveludada, com notas persistentes de frutas secas e um leve dulçor amadeirado. Harmonizações Sugeridas Entradas e petiscos: Presunto cru, nozes caramelizadas, queijo parmesão curado. Pratos principais: Filé mignon ao molho de vinho, cordeiro assado, pato laqueado. Sobremesas: Chocolate 70%, torta de nozes, crème brûlée. Ficha Técnica Volume: 750ml Teor alcoólico: 40% País: Escócia Região: Blended de maltes e grãos raros de várias regiões Estilo: Blended Scotch Whisky Premium Maturação: Não definida (whiskies envelhecidos, raros e complexos) Destaques comerciais: Blend com whiskies raros; garrafa numerada; embalagem de luxo; símbolo de prestígio e celebração. História e Curiosidade O Johnnie Walker Blue Label é uma homenagem aos primeiros blends criados por Alexander Walker, filho do fundador da marca, que revolucionou a arte do whisky escocês. Lançado oficialmente nos anos 1990 como o rótulo de maior prestígio da casa, o Blue Label reúne apenas 1 em cada 10.000 barris selecionados, tornando-o uma raridade dentro da linha. Com embalagem luxuosa e numeração individual, tornou-se um presente consagrado para conquistas importantes e momentos inesquecíveis.",https://www.casadabebida.com.br/whisky/whisky-johnnie-walker-blue-label/,1309.9,True,https://www.casadabebida.com.br/img/products/17/000.webp,8,4.76,21
814,cachaca,Vinho Pera Manca Tinto 750 ml,Pêra Manca,"Vinho Pera Manca Tinto 750 ml. Cor granada. Complexo a passas de frutas e essências das madeiras de estágio, fruto maduro muito elegante. Encorpado, com certa frescura e um aveludado em harmonia com os taninos. Este vinho, embora possa ser consumido desde já, apresenta potencial para envelhecer. Observações: As castas são provenientes de vinhas com mais de 25 anos, de talhões selecionados, em anos nos quais a maturação ocorre suavemente, mantendo as potencialidades aromáticase de extrato próprio doas castas. Estagia 18 meses em tonéis de madeiras com mais de 50 anos e capacidade de 3.000 litros, seguida de estágio em garrafas, nas caves do Convento da Cartuxa. Imagem meramente ilustrativa. Consulte a safra disponível em estoque antes da compra. Características: País de Origem: Portugal Região: Alentejo Volume: 750ml Coloração: Tinto Tipo: Seco Uva: Aragonês, Trincadeira Teor Alcoólico: 14,5% Vinícola: Cartuxa (Fundação Eugénio de Almeida). Temperatura de Consumo: 16 - 18°C Amadurecimento: 18 meses em barrica de carvalho Comentários do enólogo: Comentários do enólogo: Ótima estrutura de boca, rico, com taninos sedosos e polidos, sabores de ameixa preta e cacau. Firme, envolvente e sofisticado, termina longo e delicado. Um dis melhores tintos do Alentejo e de Portugal. O Vinho que descobriu o Brasil. Quem conhece um pouco de vinho talvez já tenha ouvido falar do tinto português Pêra-Manca. A fama se deve um pouco ao nome insólito – que significa pedra manca, ou oscilante, e é uma característica de uma formação granítica de blocos arredondados soltos sobre uma rocha firme (muita gente boa achava que era um defeito na pata do cavalo do rótulo…) -, outro tanto pela tradição, já que seria este o vinho trazido pela nau de Pedro Álvares Cabral. A verdade é que a fama do vinho se deve à soma das curiosidades anteriores aliada a alta qualidade da bebida. No primeiro teste em terras brasileiras, o vinho não foi lá um sucesso. No relato de sete folhas enviado por Pero Vaz de Caminha com suas primeiras impressões desta terra, os primeiros críticos – aquele povo que “andava nu, sem nenhuma cobertura” – detestaram o Pêra-Manca de antanho, como se lê na reprodução do trecho da carta que abre este post. O Pêra-Manca é herdeiro de uma marca reconhecida desde a idade média, que teve seu apogeu no século XIX, a extinção no começo do século XX pela praga da filoxera e por fim o renascimento em grande estilo, em 1990, quando a Fundação Eugénio de Almeida passou a adotar o nome no rótulo de seus vinho mais importante. Para ficar mais claro, o rubro e o branco que é o tema da coluna de hoje tem apenas 19 anos, somente nove safras lançadas, a primeira em 1990, mas não se exime de exibir sua rica história para justificar ainda mais sua posição de vinho ícone do Alentejo, com uma forte presença em terras brasileiras. Rótulo mais “moderno” Outra característica marcante do vinho, que eu achava sensacional, era o rótulo colorido, meio kitsh, que foi modernizado e simplificado, buscando, segundo a empresa “uma imagem intemporal que garantisse uma constante leitura contemporânea”, seja lá o que isso signifique. Para mim ficou mais sem graça e menos característico, só isso. Na imagem acima as etiquetas de 2001 e 2003 e as mudanças.",https://www.casadabebida.com.br/vinho/vinho-pera-manca-tinto-750-ml/,4109.9,True,https://www.casadabebida.com.br/img/products/814/000.jpg,1,5.0,2
487,cachaca,Vinho Casal Garcia Verde Branco 750 ml,Casal Garcia,"Vinho Casal Garcia Verde Branco 750 ml. Vinho português verde branco leve meio seco. Um vinho jovem, suave e fresco, de aroma equilibrado e levemente frutado. Enogastronomia Ideal como aperitivo ou para acompanhar peixes, mariscos, saladas e pratos da culinária oriental Imagem meramente ilustrativa. Consulte a safra disponível em estoque antes da compra. Características: Produtor: Aveleda. Origem: Portugal. Tipo de Vinho: Verde branco. Região: Vinhos Verdes. Uvas: Trajadura. Teor Alcoólico: 10% VOL. Volume: 750ml. NOTAS DE DEGUSTAÇÃO: Cor: Amarelo palha com toque esverdeado. Aspecto límpido e ligeiramente efervescente. Aroma: Delicado, levemente frutado, com toques florais. Paladar: Suave, fresco, jovem, equilibrado. Boa acidez. Composição: Trajadura; Loureiro; Pedernã; Azal AVELEDA A Aveleda é uma empresa familiar que há mais de 3 séculos se dedica à cultura do vinho. Situada na região dos vinhos verdes, seu nome refere-se às uvas Aveleda, que provêm do local. Líder no mercado de vinhos verdes e uma das 3 maiores empresas vitivinícolas do país, também produz a famosa aguardente Adega Velha e um vinho do Douro chamado Charamba. PORTUGAL O progresso dos vinhos de Portugal nos últimos anos foi impressionante. A modernização tecnológica, aliada às maravilhosas uvas da terra, conduziu o país de volta ao mercado mundial. País que oferece rótulos atraentes por sua relação qualidade-preço, foi o primeiro a ter regiões demarcadas. Douro, Bairrada e Minho (Vinhos Verdes) são algumas de suas regiões produtoras. Também no Douro tem origem o tradicional Vinho do Porto. Conservação: Conservar em lugar fresco, na posição horizontal. Evitar exposição ao sol e variações bruscas de temperatura.",https://www.casadabebida.com.br/vinho/vinho-casal-garcia-verde-branco/,49.98,True,https://www.casadabebida.com.br/img/products/487/000.webp,2,,0
489,cachaca,Vinho Casal Garcia Rose 750 ml,Casal Garcia,"Vinho Casal Garcia Rose 750 ml. Vinho Rosé de mesa meio seco. A Aveleda é uma empresa familiar que há mais de 3 séculos se dedica à cultura do vinho. Situada na região dos vinhos verdes, seu nome refere-se às uvas Aveleda que provêm do local. Líder no mercado de vinhos verdes e uma das 3 maiores empresas vitivinícolas do país, também produz a famosa aguardente Adega Velha e um vinho do Douro chamado Charamba. Sem dúvida, você apreciará um excelente vinho! Imagem meramente ilustrativa. Consulte a safra disponível em estoque antes da compra. Características: Produtor: Aveleda. Origem: Portugal. Tipo de Vinho: Rose Verde. Região: Vinhos Verdes. Uvas: Vinhão. Teor Alcoólico: 10,5% VOL. Volume: 750ml. Safra: 2011* NOTAS DE DEGUSTAÇÃO: Cor: Rosada com um aspecto límpido e ligeiramente efervescente. Aroma: Frutado sobressaindo notas de framboesa e morango. Paladar: continua evidente a fruta vermelha, bem conjugada com uma acidez equilibrada que confere a este vinho um grande frescor, uma estrutura sólida e um final harmonioso e de persistência suave. A Aveleda é uma empresa familiar que há mais de 3 séculos se dedica à cultura do vinho. Situada na região dos vinhos verdes, seu nome refere-se às uvas Aveleda, que provêm do local. Líder no mercado de vinhos verdes e uma das 3 maiores empresas vitivinícolas do país, também produz a famosa aguardente Adega Velha e um vinho do Douro chamado Charamba. PORTUGAL O progresso dos vinhos de Portugal nos últimos anos foi impressionante. A modernização tecnológica, aliada às maravilhosas uvas da terra, conduziu o país de volta ao mercado mundial. País que oferece rótulos atraentes por sua relação qualidade-preço, foi o primeiro a ter regiões demarcadas. Douro, Bairrada e Minho (Vinhos Verdes) são algumas de suas regiões produtoras. Também no Douro tem origem o tradicional Vinho do Porto. Conservação: Conservar em lugar fresco, na posição horizontal. Evitar exposição ao sol e variações bruscas de temperatura.",https://www.casadabebida.com.br/vinho/vinho-casal-garcia-rose/,49.9,False,https://www.casadabebida.com.br/img/products/489/001.png,2,,0
209,cachaca,Miniatura Chandon Brut Baby 187 ml,Chandon,"Miniatura Chandon Brut Baby 187ml – Elegância em Tamanho Compacto A Miniatura Chandon Brut Baby 187ml é a versão compacta do espumante mais icônico da Chandon, perfeito para momentos especiais e celebrações intimistas. Produzido com uvas selecionadas – Chardonnay, Pinot Noir e Riesling Itálico – da Serra Gaúcha, este rótulo oferece frescor, sofisticação e a qualidade reconhecida mundialmente da marca. Com a assinatura do grupo Moët Hennessy (LVMH), a Chandon Brut Baby mantém o mesmo perfil aromático equilibrado e elegante da versão tradicional, sendo ideal para brindes individuais, presentes e eventos exclusivos. Seu tamanho prático também faz dela uma opção versátil para coquetéis e momentos descontraídos. Aromas & Paladar Nariz: Notas de maçã verde, frutas cítricas e toques florais. Boca: Fresco e delicado, com acidez equilibrada, cremosidade suave e sabores de frutas brancas. Finalização: Leve, limpa e refrescante, com excelente persistência. Harmonizações Sugeridas Entradas e petiscos: Canapés, carpaccio, salmão defumado. Pratos principais: Peixes brancos grelhados, risoto de frutos do mar e sushi. Queijos e/ou sobremesas: Queijos leves, frutas frescas e sobremesas cítricas. Ficha Técnica Volume: 187ml Teor alcoólico: 11,5% País: Brasil Região: Serra Gaúcha – RS Estilo: Espumante Brut Maturação: Método Charmat (segunda fermentação em tanques). Destaques comerciais: Praticidade e elegância em uma versão mini, ideal para brindes individuais. História e Curiosidade A Chandon, fundada no Brasil em 1973, traz a expertise do grupo LVMH e a tradição francesa na produção de espumantes. A versão Baby 187ml surgiu como uma alternativa elegante e prática para celebrar momentos únicos, mantendo a mesma excelência do rótulo original.",https://www.casadabebida.com.br/espumante/espumante-chandon-brut-baby/?gad_source=1&gad_campaignid=23193546413&gbraid=0AAAAADx9p9JdDk6iU7wTcWxDLxzyouBQU&gclid=Cj0KCQjwve7NBhC-ARIsALZy9HXBqCA6RRorUq0uK8ivKM_xnXSe0KW242v46feVsUaJoSAmpUjxoawaAls4EALw_wcB,33.9,True,https://www.casadabebida.com.br/img/products/209/000.png,1,4.38,8
207,cachaca,Espumante Chandon Brut 750 ml,Chandon,"Espumante Chandon Brut 750ml – A Essência do Sabor e Elegância Brasileira O Espumante Chandon Brut 750ml é um dos rótulos mais reconhecidos da vinícola Chandon, referência mundial na produção de espumantes de alta qualidade. Produzido no Brasil, com a expertise do grupo Moët Hennessy (LVMH), o Chandon Brut combina uvas selecionadas — Chardonnay, Pinot Noir e Riesling Itálico — cultivadas nas melhores regiões vitivinícolas da Serra Gaúcha. Sua proposta é oferecer um espumante fresco, vibrante e elegante, que equilibra acidez, cremosidade e aromas frutados. A tradição da Chandon, aliada ao terroir brasileiro, resulta em um rótulo versátil, ideal para brindar conquistas, harmonizar com pratos leves ou compor coquetéis sofisticados. Aromas & Paladar Nariz: Aromas de maçã verde, frutas cítricas e delicadas notas florais. Boca: Fresco e equilibrado, com acidez marcante, toque de frutas brancas e leve cremosidade. Finalização: Leve, refrescante e persistente, com excelente equilíbrio entre fruta e acidez. Harmonizações Sugeridas Entradas e petiscos: Carpaccio, ostras, canapés de salmão. Pratos principais: Risoto de frutos do mar, peixes grelhados, sushi e sashimi. Queijos e/ou sobremesas: Queijos leves, frutas frescas, macarons e sobremesas à base de frutas cítricas. Ficha Técnica Volume: 750ml Teor alcoólico: 12% País: Brasil Região: Serra Gaúcha – Rio Grande do Sul Estilo: Espumante Brut Maturação: Método Charmat (segunda fermentação em tanque). Destaques comerciais: Espumante versátil e elegante, reconhecido pelo frescor e pela qualidade consistente. História e Curiosidade A Chandon se estabeleceu no Brasil em 1973, escolhendo a Serra Gaúcha por sua similaridade climática com a região de Champagne, na França. Desde então, tornou-se referência na produção de espumantes premium, unindo tradição francesa e a autenticidade do terroir brasileiro.",https://www.casadabebida.com.br/espumante/espumante-chandon-brut/,98.9,True,https://www.casadabebida.com.br/img/products/207/001.png,4,4.78,18
145,cachaca,Espumante Freixenet Cordon Negro Brut 750 ml,Freixenet,"Espumante Freixenet Cordon Negro Brut 750ml – A Elegância da Cava Espanhola O Espumante Freixenet Cordon Negro Brut 750ml é um dos rótulos mais icônicos do mundo quando se trata de cava espanhola. Com sua famosa garrafa preta fosca, ele representa sofisticação, qualidade e versatilidade. Produzido na região de Sant Sadurní d’Anoia, na Catalunha, a Freixenet é referência global na produção de espumantes elaborados pelo método tradicional, o mesmo usado nos champagnes franceses, garantindo perlage fina, frescor e aromas intensos. A marca Freixenet tem mais de 150 anos de história e se consolidou como uma das maiores produtoras de espumantes do planeta. O Cordon Negro Brut é um blend clássico das uvas Macabeo, Parellada e Xarel-lo, resultando em um espumante equilibrado, com notas frutadas e florais, ideal tanto para brindes e celebrações quanto para harmonizações gastronômicas. Aromas & Paladar Nariz: Aromas de maçã verde, pera, flores brancas e toques cítricos. Boca: Fresco, seco e equilibrado, com sabores de frutas brancas, limão e leve toque de pão tostado. Finalização: Refrescante, limpa e com boa persistência. Harmonizações Sugeridas Entradas e petiscos: Tapas espanholas, carpaccio de peixe, frutos do mar. Pratos principais: Paella, peixes grelhados, risoto de frutos do mar. Queijos e/ou sobremesas: Queijos leves como brie, frutas frescas e sobremesas cítricas. Ficha Técnica Volume: 750ml Teor alcoólico: 11,5% País: Espanha Região: Catalunha Estilo: Cava Brut Maturação: Método tradicional, com segunda fermentação em garrafa. Destaques comerciais: Espumante icônico da Freixenet, referência mundial em qualidade e elegância. História e Curiosidade A Freixenet começou sua produção em 1861 e rapidamente se tornou uma das maiores e mais respeitadas casas de cava do mundo. O Cordon Negro Brut ganhou fama internacional por sua qualidade consistente e pelo design marcante da garrafa preta, símbolo de modernidade e exclusividade.",https://www.casadabebida.com.br/espumante/espumante-freixenet-cordon-negro/,74.9,False,https://www.casadabebida.com.br/img/products/145/000.webp,1,4.75,12
121,cachaca,Vodka Cîroc 750 ml,Ciroc,"Vodka Cîroc. Vodka Ultra-Premium 750 ml. Características: Um dos maiores casos de sucesso nesse setor presença constante nos ambientes mais badalados e descolados do mundo. O fato de ser feita de uva e, sobretudo, na França, país-ícone do luxo, já confere à CÎROC uma elegância, complementada também por sua garrafa, que lembra os frascos criados por perfumistas. Seu processo de produção, quase artesanal, utiliza fermentação fria, que mantém o frescor e as características marcantes da uva. A figura do galo gravada na garrafa de Ciroc, é um símbolo típico da região de Gailac, na França, e que representa a cultura e a herança do cultivo da uva nesta região. Detalhes: País de origem: Itália. Graduação Alcóolica: 40% vol. Volume: 750 ml.",https://www.casadabebida.com.br/vodka/vodka-ciroc/,169.98,True,https://www.casadabebida.com.br/img/products/121/000.webp,7,4.95,21
