sku,rating,author,review_body
21,5,Kelwen Henrique,Chegou muito rápido
21,5,Edegar Segala,Chegou no prazo.
21,5,Rosane Conte,espetacular
21,5,Pamela Chies,Atendimento de qualidade chegou no prazo ! Recomendo
21,5,Marcelo Camargo,"Excelente whisky, suave, maravilhoso"
21,5,Jaeyoung Jeong,TABOM
21,5,Marcos Campos,produto muito bom
21,5,Lucas Torres,"Chegou certinho, e antes do prazo. Excelente produto"
21,5,Michael Damasce,"Chegou certinho e antes do prazo. Super recomendo. O produto, sem comentários."
21,5,Jéssica Mota,"Não bebo whisky, comprei para presentear. Mas a garrafa e embalagem são perfeitaaaas, dignas de 5 estrelas."
21,4,Luiz Abreu,E bom
21,5,Erik Dantas,"Um ótimo uísque, notas bem definidas e um sabor agradável. Quem achar o gosto de álcool forte, recomendo colocar um pouco de água."
21,5,Franco Antonelli,Top!!!
21,5,Marcela Matos,"Chegou no prazo, super bem embalado, a caixa e a garrafa muito bonitas. Super recomendo. Ótimo para presentear."
21,5,Wilson Morello,Sem comentário!!Perfeito em todos os sentidos.
21,5,Spencer Cheng,Caixa muito elegante e chegou bem embalada e protegida. Nota 10
21,5,Guilherme Cavalcante,"Chegou rápido e muito bem embalado, com varias proteções, produto chegou em perfeito estado com todos os lacres. excelente serviço."
21,5,Flavia Medeiros,Produto ótimo … entrega sensacional … chegou exatamente na data prevista !
21,5,Carlos Carmo,Gostaria de receber meus produtos com a cx original
21,5,Vera Ferreira,Produto excelente e entrega tb!
21,5,Wanderley Filho,Excelente atendimento e produto
21,5,Ana Kanomata,"Comprei para presentear meu marido, a entrega foi muito rápida , antes do prazo, embalagem feita com muito cuidado, o produto chegou em perfeito estado!!!! Com certeza já virei cliente , indico a casa de bebidas de olhos fechados"
21,5,Ivan Anjos,"Chegou mo prazo, muito bem embalado e protegido. Vale muito a compra nessa loja. Parabéns."
21,5,Marlene Medeiros,"presentei meu marido , pelo aniversario, o mesmo ficou muito feliz com o presente em quase 40 anos de casados , não me lembro de ter ficado tão contente com um presente. Ele ainda não abriu, está esperando um momento especial. dei avaliação como ótimo pela felicidade de meu esposo."
21,5,Waldemar Grossman,Parabéns pelo profissionalismo e atenção para comigo . Breve faremos novas compras. Grato.
21,5,Thales Moura,Excelente Whisky e a entrega muito rápida. Estão de parabéns
21,5,Washington Luciano,Pena que acabou rápido kkkkkkk
